digit,k,MSE
0,2,0.05376173555850983
0,5,0.02919648587703705
0,20,0.021845350041985512
0,30,0.01610458455979824
1,2,0.03582187369465828
1,5,0.03413299471139908
1,20,0.010301748290657997
1,30,0.007189556490629911
2,2,0.060626983642578125
2,5,0.05161212757229805
2,20,0.03390003368258476
2,30,0.026754261925816536
3,2,0.06468886882066727
3,5,0.04002314805984497
3,20,0.015228101052343845
3,30,0.012379366904497147
4,2,0.07050373405218124
4,5,0.06263653188943863
4,20,0.033526256680488586
4,30,0.030172869563102722
5,2,0.06123792752623558
5,5,0.055153101682662964
5,20,0.028845367953181267
5,30,0.023311663419008255
6,2,0.06014620140194893
6,5,0.04342300072312355
6,20,0.02604692615568638
6,30,0.02054888941347599
7,2,0.045656271278858185
7,5,0.035586245357990265
7,20,0.01436694897711277
7,30,0.011160071939229965
8,2,0.05130315199494362
8,5,0.03574752435088158
8,20,0.021187271922826767
8,30,0.016802050173282623
9,2,0.03999148681759834
9,5,0.03865151107311249
9,20,0.020782219246029854
9,30,0.0175680760294199
